country_whitelist,country_blacklist,parents,title,alias
,,shopping,Bespoke Clothing,bespoke
,AR,,Bespoke Clothing,bespoke
,JP,,Bespoke Clothing,bespoke
,CL,,Bespoke Clothing,bespoke
,TR,,Bespoke Clothing,bespoke
,FI,,Bespoke Clothing,bespoke
,BR,,Bespoke Clothing,bespoke
,SE,,Bespoke Clothing,bespoke
,MX,,Bespoke Clothing,bespoke
,,arts,Betting Centers,bettingcenters
,FI,,Betting Centers,bettingcenters
,NO,,Betting Centers,bettingcenters
,SG,,Betting Centers,bettingcenters
,NZ,,Betting Centers,bettingcenters
,CA,,Betting Centers,bettingcenters
,FR,,Betting Centers,bettingcenters
,US,,Betting Centers,bettingcenters
,,food,Beverage Store,beverage_stores
DE,,,Beverage Store,beverage_stores
AU,,,Beverage Store,beverage_stores
CH,,,Beverage Store,beverage_stores
US,,,Beverage Store,beverage_stores
BE,,,Beverage Store,beverage_stores
CL,,,Beverage Store,beverage_stores
ES,,,Beverage Store,beverage_stores
NL,,,Beverage Store,beverage_stores
PT,,,Beverage Store,beverage_stores
IT,,,Beverage Store,beverage_stores
TR,,,Beverage Store,beverage_stores
AT,,,Beverage Store,beverage_stores
,,active,Bicycle Paths,bicyclepaths
,DE,,Bicycle Paths,bicyclepaths
,MY,,Bicycle Paths,bicyclepaths
,TW,,Bicycle Paths,bicyclepaths
,CH,,Bicycle Paths,bicyclepaths
,CA,,Bicycle Paths,bicyclepaths
,US,,Bicycle Paths,bicyclepaths
,FR,,Bicycle Paths,bicyclepaths
,HK,,Bicycle Paths,bicyclepaths
,IT,,Bicycle Paths,bicyclepaths
,TR,,Bicycle Paths,bicyclepaths
,AT,,Bicycle Paths,bicyclepaths
,PH,,Bicycle Paths,bicyclepaths
DK,,,Bicycles,bicycles
PL,,,Bicycles,bicycles
PT,,,Bicycles,bicycles
CZ,,,Bicycles,bicycles
,,localservices,Bike Repair/Maintenance,bike_repair_maintenance
,,bicycles,Bike Associations,bikeassociations
PT,,,Bike Associations,bikeassociations
DK,,,Bike Associations,bikeassociations
,,active,Bike Parking,bikeparking
,FR,,Bike Parking,bikeparking
,,active,Bike Rentals,bikerentals
